Energy	   a,n        S.F.       tot
0.0000e+00 4.6930e-15 5.9100e-16 5.2840e-15
1.0000e-01 7.1250e-15 1.0400e-15 8.1650e-15
2.0000e-01 8.7300e-15 1.2850e-15 1.0010e-14
3.0000e-01 9.0820e-15 1.4450e-15 1.0530e-14
4.0000e-01 1.1160e-14 1.5480e-15 1.2710e-14
5.0000e-01 1.2830e-14 1.6110e-15 1.4450e-14
6.0000e-01 1.2720e-14 1.6430e-15 1.4360e-14
8.0000e-01 1.0860e-14 1.6370e-15 1.2500e-14
9.0000e-01 9.7190e-15 1.6080e-15 1.1330e-14
1.0000e+00 9.6310e-15 1.5670e-15 1.1200e-14
1.1000e+00 1.1550e-14 1.5170e-15 1.3060e-14
1.2000e+00 1.4670e-14 1.4590e-15 1.6120e-14
1.3000e+00 1.8800e-14 1.3970e-15 2.0190e-14
1.4000e+00 2.9830e-14 1.3310e-15 3.1160e-14
1.6000e+00 4.8920e-14 1.1940e-15 5.0120e-14
1.7000e+00 5.0340e-14 1.1240e-15 5.1460e-14
1.8000e+00 5.2770e-14 1.0560e-15 5.3830e-14
1.9000e+00 5.1480e-14 9.8900e-16 5.2460e-14
2.0000e+00 4.4310e-14 9.2370e-16 4.5230e-14
2.1000e+00 3.6120e-14 8.6070e-16 3.6980e-14
2.2000e+00 2.9660e-14 8.0020e-16 3.0460e-14
2.4000e+00 2.0870e-14 6.8730e-16 2.1550e-14
2.5000e+00 1.6870e-14 6.3520e-16 1.7510e-14
2.6000e+00 1.2280e-14 5.8600e-16 1.2870e-14
2.7000e+00 9.1840e-15 5.3970e-16 9.7240e-15
2.8000e+00 7.4420e-15 4.9630e-16 7.9380e-15
2.9000e+00 4.4400e-15 4.5570e-16 4.8960e-15
3.0000e+00 2.0670e-15 4.1790e-16 2.4850e-15
3.2000e+00 1.8580e-15 3.5000e-16 2.2080e-15
3.3000e+00 1.9250e-15 3.1970e-16 2.2450e-15
3.4000e+00 1.9900e-15 2.9170e-16 2.2810e-15
3.5000e+00 2.0590e-15 2.6580e-16 2.3240e-15
3.6000e+00 2.0970e-15 2.4200e-16 2.3390e-15
