Energy [keV],A1,A2,A3,A4,A5,A6,A7,A8,A9,A11,A12,A13,A14,A15,A16,A17,A18
129.5,3.73E-02,8.92E+02,7.33E+00,2.49E-01,1.91E+01,3.63E-04,7.50E+02,3.79E-02,7.87E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
291.3,6.02E-03,1.05E+03,5.44E+00,4.31E-01,1.49E+01,2.99E-04,9.00E+03,6.44E-03,1.04E+01,8.04E-06,3.01E-03,2.89E+02,7.71E+00,6.99E+00,3.55E-03,4.07E-05,1.82E+02
406.7,4.87E-03,1.16E+03,5.72E+00,4.91E-01,1.46E+01,2.48E-04,9.00E+02,5.57E-03,1.04E+01,7.10E-06,1.13E-03,4.07E+02,3.45E+00,1.08E+01,2.80E-03,1.68E-05,2.45E+02
539.4,5.32E-03,1.31E+03,4.41E+00,7.61E-01,1.00E+01,2.19E-04,3.70E+02,5.98E-03,1.08E+01,2.26E-06,8.58E-04,5.51E+02,3.56E+00,9.28E+00,1.81E-03,3.98E-06,3.28E+02
679.3,5.30E-03,1.44E+03,6.03E+00,3.12E-01,1.91E+01,1.80E-04,6.19E+02,6.02E-03,1.04E+01,1.12E-06,6.66E-04,6.87E+02,4.71E+00,1.25E+01,1.73E-03,6.09E-06,3.99E+02
890.1,4.27E-03,1.65E+03,7.17E+00,1.80E-01,2.63E+01,9.40E-05,1.09E+04,4.75E-03,9.44E+00,7.22E-07,3.31E-04,9.08E+02,4.60E+00,1.56E+01,1.01E-03,1.01E-06,5.23E+02
1097.8,3.31E-03,1.86E+03,5.99E+00,1.38E+00,1.09E+01,1.05E-04,2.14E+04,3.82E-03,8.68E+00,5.38E-07,2.45E-04,1.11E+03,5.60E+00,1.82E+01,9.67E-04,1.86E-06,6.38E+02
1303.7,2.80E-03,2.07E+03,1.89E+00,1.30E+00,1.52E+01,1.42E-04,6.23E+02,2.98E-03,9.30E+00,2.52E-07,2.26E-04,1.32E+03,1.31E+01,2.77E+01,7.69E-04,5.42E-07,7.86E+02
2016.3,1.08E-03,2.80E+03,4.61E+00,1.05E+00,4.14E+01,7.23E-05,2.12E+04,1.23E-03,1.14E+01,1.65E-07,5.23E-05,2.04E+03,1.90E+01,2.70E+01,2.87E-04,-2.99E-08,1.30E+03
3024.9,2.73E-04,3.82E+03,2.68E+00,1.22E+00,7.07E+01,5.64E-05,1.51E+04,3.85E-04,1.58E+01,7.84E-08,1.18E-05,3.03E+03,1.51E+02,3.38E+01,2.34E-04,5.63E-08,2.00E+03
