ASTAR: Stopping Powers and Range Tables for Alpha Particles

HELIUM                                                                  

Kinetic   CSDA      Projected 
Energy    Range     Range     
MeV       g/cm2     g/cm2     

1.000E-03 2.488E-06 1.700E-06 
1.500E-03 3.822E-06 2.682E-06 
2.000E-03 5.197E-06 3.725E-06 
2.500E-03 6.592E-06 4.808E-06 
3.000E-03 7.993E-06 5.916E-06 
4.000E-03 1.078E-05 8.171E-06 
5.000E-03 1.352E-05 1.044E-05 
6.000E-03 1.618E-05 1.269E-05 
7.000E-03 1.876E-05 1.491E-05 
8.000E-03 2.126E-05 1.709E-05 
9.000E-03 2.368E-05 1.922E-05 
1.000E-02 2.602E-05 2.130E-05 
1.250E-02 3.156E-05 2.630E-05 
1.500E-02 3.671E-05 3.101E-05 
1.750E-02 4.152E-05 3.547E-05 
2.000E-02 4.605E-05 3.970E-05 
2.250E-02 5.032E-05 4.373E-05 
2.500E-02 5.438E-05 4.758E-05 
2.750E-02 5.825E-05 5.126E-05 
3.000E-02 6.194E-05 5.479E-05 
3.500E-02 6.889E-05 6.148E-05 
4.000E-02 7.535E-05 6.773E-05 
4.500E-02 8.140E-05 7.360E-05 
5.000E-02 8.710E-05 7.915E-05 
5.500E-02 9.251E-05 8.443E-05 
6.000E-02 9.765E-05 8.947E-05 
6.500E-02 1.026E-04 9.429E-05 
7.000E-02 1.073E-04 9.893E-05 
7.500E-02 1.118E-04 1.034E-04 
8.000E-02 1.162E-04 1.077E-04 
8.500E-02 1.204E-04 1.119E-04 
9.000E-02 1.245E-04 1.159E-04 
9.500E-02 1.285E-04 1.198E-04 
1.000E-01 1.324E-04 1.237E-04 
1.250E-01 1.503E-04 1.414E-04 
1.500E-01 1.664E-04 1.574E-04 
1.750E-01 1.811E-04 1.721E-04 
2.000E-01 1.949E-04 1.857E-04 
2.250E-01 2.078E-04 1.986E-04 
2.500E-01 2.201E-04 2.109E-04 
2.750E-01 2.319E-04 2.226E-04 
3.000E-01 2.433E-04 2.340E-04 
3.500E-01 2.650E-04 2.556E-04 
4.000E-01 2.856E-04 2.762E-04 
4.500E-01 3.056E-04 2.962E-04 
5.000E-01 3.251E-04 3.156E-04 
5.500E-01 3.442E-04 3.347E-04 
6.000E-01 3.632E-04 3.536E-04 
6.500E-01 3.820E-04 3.725E-04 
7.000E-01 4.008E-04 3.913E-04 
7.500E-01 4.197E-04 4.102E-04 
8.000E-01 4.387E-04 4.291E-04 
8.500E-01 4.578E-04 4.482E-04 
9.000E-01 4.772E-04 4.675E-04 
9.500E-01 4.967E-04 4.871E-04 
1.000E+00 5.165E-04 5.069E-04 
1.250E+00 6.199E-04 6.102E-04 
1.500E+00 7.320E-04 7.222E-04 
1.750E+00 8.536E-04 8.438E-04 
2.000E+00 9.850E-04 9.751E-04 
2.250E+00 1.126E-03 1.116E-03 
2.500E+00 1.278E-03 1.268E-03 
2.750E+00 1.440E-03 1.430E-03 
3.000E+00 1.613E-03 1.603E-03 
3.500E+00 1.991E-03 1.981E-03 
4.000E+00 2.412E-03 2.402E-03 
4.500E+00 2.875E-03 2.865E-03 
5.000E+00 3.379E-03 3.369E-03 
5.500E+00 3.923E-03 3.912E-03 
6.000E+00 4.506E-03 4.495E-03 
6.500E+00 5.128E-03 5.117E-03 
7.000E+00 5.787E-03 5.776E-03 
7.500E+00 6.485E-03 6.474E-03 
8.000E+00 7.219E-03 7.208E-03 
8.500E+00 7.990E-03 7.979E-03 
9.000E+00 8.798E-03 8.787E-03 
9.500E+00 9.642E-03 9.630E-03 
1.000E+01 1.052E-02 1.051E-02 
1.250E+01 1.544E-02 1.543E-02 
1.500E+01 2.122E-02 2.121E-02 
1.750E+01 2.783E-02 2.781E-02 
2.000E+01 3.525E-02 3.523E-02 
2.500E+01 5.244E-02 5.243E-02 
2.750E+01 6.220E-02 6.218E-02 
3.000E+01 7.271E-02 7.269E-02 
3.500E+01 9.595E-02 9.592E-02 
4.000E+01 1.221E-01 1.221E-01 
4.500E+01 1.511E-01 1.511E-01 
5.000E+01 1.829E-01 1.828E-01 
5.500E+01 2.174E-01 2.174E-01 
6.000E+01 2.546E-01 2.546E-01 
6.500E+01 2.945E-01 2.945E-01 
7.000E+01 3.370E-01 3.370E-01 
7.500E+01 3.821E-01 3.821E-01 
8.000E+01 4.298E-01 4.298E-01 
8.500E+01 4.800E-01 4.799E-01 
9.000E+01 5.327E-01 5.327E-01 
9.500E+01 5.879E-01 5.878E-01 
1.000E+02 6.456E-01 6.455E-01 
1.250E+02 9.697E-01 9.696E-01 
1.500E+02 1.352E+00 1.352E+00 
1.750E+02 1.790E+00 1.790E+00 
2.000E+02 2.282E+00 2.282E+00 
2.250E+02 2.826E+00 2.826E+00 
2.500E+02 3.421E+00 3.421E+00 
2.750E+02 4.065E+00 4.064E+00 
3.000E+02 4.756E+00 4.756E+00 
3.500E+02 6.277E+00 6.276E+00 
4.000E+02 7.973E+00 7.972E+00 
4.500E+02 9.837E+00 9.836E+00 
5.000E+02 1.186E+01 1.186E+01 
5.500E+02 1.404E+01 1.403E+01 
6.000E+02 1.636E+01 1.636E+01 
6.500E+02 1.882E+01 1.882E+01 
7.000E+02 2.141E+01 2.141E+01 
7.500E+02 2.413E+01 2.413E+01 
8.000E+02 2.698E+01 2.697E+01 
8.500E+02 2.994E+01 2.993E+01 
9.000E+02 3.301E+01 3.301E+01 
9.500E+02 3.620E+01 3.619E+01 
1.000E+03 3.948E+01 3.948E+01 
